"id","k3","k4","k5"
"146",0.18,2.94,6.82
"147",1.7,4.38,4.98
"148",2.16,3.86,1.94
"149",1.18,4.78,2.24
"150",8.48,7.02,4.7
"151",2.32,1.62,5.28
"152",1.72,4.38,3.1
"153",0.92,2.06,4.92
"154",2.2,1.9,5.4
"155",1.48,7.1,3.94
"156",4.44,1.8,7.38
"157",5.16,2.54,5.56
"158",4.14,2.02,3.98
"159",1.62,2.8,3.08
"160",2.28,3.14,12
"161",2.6,3.18,7.06
"162",1.24,3.18,2.54
"163",2.92,2.46,1.06
"164",6.46,1.42,3.96
"165",1.62,1.88,2.48
"166",1.62,0.58,2.5
"167",1.74,2.66,1.92
"168",6.68,1.7,7.42
"169",0.98,3.94,3.44
"170",1.88,3.58,5.9
"171",3.58,2.84,3.48
"172",1.5,2.86,4.3
"173",2.26,2.58,3.1
"174",2.98,5.66,4.32
"175",0.26,6.44,4.16
"176",1.7,5.02,6.16
"177",5.7,1.48,2.38
"178",2.8,4.9,11.26
"179",5.64,1.1,2
"180",1.34,0.98,3.12
"181",3.6,2.52,4.8
"182",1.96,3.28,0.96
"183",6.96,3.26,4.56
"184",2.28,1.78,6.14
"185",3.7,2.04,1.62
"186",4.38,0.72,5.12
"187",2.54,4.06,3.36
"188",2.94,2.14,3.88
"189",2.58,5.22,1.52
"190",3.5,2.54,3.1
"191",5.7,4.8,5.64
"192",3.66,5.12,2.6
"193",1.54,0.98,3.54
"194",0.78,1.66,4.42
"195",2.34,2.68,5.52
"196",1.38,6.94,3.16
"197",0.74,2.84,10.96
"198",4.38,10.74,2.54
"199",1.08,6.54,5.34
"200",5.9,5,4.28
"201",0.8,3.12,6.28
"202",3.88,9.64,3.52
"203",3.02,4.08,6.18
"204",2.7,1.94,1.76
"205",6.22,9.02,6
"206",3.12,4.94,3.82
"207",4.1,2.2,1.88
"208",1.5,0.98,8.22
"209",4.58,2.7,4.52
"210",3.06,4.02,0.86
"211",4.2,5.78,9.74
"212",7.32,2.48,2.06
"213",1.4,0.54,5.26
"214",0.68,2.44,8.54
"215",0.78,1.5,5.9
"216",3.18,6.22,1.8
"217",2.92,3.42,7.12
"218",1.56,1.08,3.02
"219",1.4,1.38,6.42
"220",2.6,4,8.86
"221",10.6,3.5,3.88
"222",4.38,2.18,6.5
"223",4.56,1.82,4.08
"224",5.7,7.14,4.88
"225",1.86,8.66,3.04
"226",1.62,5.3,3.76
"227",3.92,4.44,2.44
"228",2.62,3.46,5.5
"229",1.26,1.56,1.96
"230",1.22,5.12,6.7
"231",1.16,11.88,3.84
"232",1.54,2.86,3.14
"233",1.98,1.86,6.72
"234",3.24,3.38,1.36
"235",2.2,5.76,9.02
"236",2.84,6.14,3.74
"237",1,2.78,4.86
"238",2.22,2.9,0.3
"239",0.6,3.96,3.92
"240",6.6,3.9,9.5
"241",9,3.18,4.68
"242",10.8,2.44,4.06
"243",4.74,1.06,2.52
"244",3,3.08,8.38
"245",0.9,4.12,1.2
"246",3.58,8.28,1.02
"247",1.64,3.96,3.52
"248",4.4,2.38,6.62
"249",2.2,3.66,10.54
"250",4.2,2.78,3.64
"251",4.12,2.64,3.74
"252",0.62,1.74,2.4
"253",2.16,5.18,4.22
"254",2.12,3.56,3.08
"255",1.02,2.54,1.74
"256",6.68,5.24,4.36
"257",0.08,3.08,10.1
"258",4.76,6.46,2.04
"259",5.1,1.72,3.06
"260",1.64,3.72,7.82
"261",1.24,1.98,8.4
"262",0.36,8.2,1.4
"263",1.82,4.08,1.6
"264",0.66,5.5,5.58
"265",3.88,10.6,3.66
"266",1.14,1.52,10.54
"267",1.8,4.7,5.26
"268",5.94,2.22,5.5
"269",4.6,6.86,0.9
"270",1.74,2.6,1.56
"271",2.12,3.9,8.54
"272",2.64,1.82,2.82
"273",4.24,3.34,5.22
"274",0.42,2.6,7.74
"275",5.4,0.78,5.64
"276",1.56,7.12,1.96
"277",7.46,3.76,7.14
"278",5.48,3.92,5.38
"279",7.06,2.18,6.54
"280",4.44,2.62,4.04
"281",7.08,5.02,5.42
"282",1.7,1.82,1.32
"283",0.68,6.92,2.76
"284",6.68,4.52,3.82
"285",2.14,2.52,7.72
"286",0.76,1.12,1.94
"287",3.96,2.94,8.3
"288",0.26,3.02,8.14
"289",8.46,2.62,3.14
"290",3.4,2.74,4.32
"291",0.68,0.76,1.34
"292",8.74,1.16,2.04
"293",1.32,1.64,3.76
"294",3.94,3.74,1.64
"295",6.18,1.56,0.8
"296",4.76,5.88,2.24
"297",2.4,1.16,5.46
"298",1.5,2.72,3.1
"299",6.44,5.12,2.64
"300",1.9,5.1,11
"301",0.6,1.86,1.6
"302",0.26,3.68,2.3
"303",1.26,1.02,8.24
"304",0.86,2.7,2
"305",1.14,7.6,4.12
"306",1.04,1.82,2.68
"307",1.06,3.36,5.72
"308",0.72,3.46,6.94
"309",1.24,8.36,10.62
"310",2.64,1.02,6.88
"311",2.86,1.64,3.76
"312",1.62,2.02,2.02
"313",2.66,0.84,2.8
"314",1.38,2.46,6.76
"315",1,2.92,9.5
"316",0.94,8.42,5.26
"317",5.2,0.64,2.22
"318",1.9,4.86,5.02
"319",1.4,5,7.98
"320",1.4,1.16,3.82
"321",7.3,2.22,6.88
"322",0.52,6.12,1.56
"323",2,5.12,5.82
"324",1.72,2.52,6.1
"325",4.84,1.24,1.56
"326",6.38,3.76,6.98
"327",2.22,7.76,4.18
"328",9.84,0.62,6.2
"329",4.1,1.96,8.68
"330",4.26,9.18,5.64
"331",6.3,2.72,4.14
"332",3.44,0.86,3.68
"333",0.6,7.74,5.1
"334",3.72,5.04,5.88
"335",1.64,4.48,1.5
"336",3.3,5.24,5.5
"337",0.86,4.96,5.76
"338",7.54,7.18,4
"339",2.6,7.68,5.84
"340",3.28,10.4,3.6
"341",1.46,8.3,6.22
"342",0.44,2.72,4.3
"343",3,3.72,2.14
"344",0.86,3.96,9.3
"345",2.22,3.4,5.98
"346",0.58,2.24,7.38
"347",3.02,3.6,2.12
"348",0.52,2.72,8.92
"349",1.18,3.42,2.78
"350",3.66,3.9,10.1
"351",0.18,2.14,2.04
"352",2.18,8.2,3.02
"353",4.06,4.56,2.24
"354",1.66,3.34,2.9
"355",8.06,4.54,9.78
"356",0.96,7.14,3.5
"357",0.46,1.02,9.02
"358",5.4,6.38,4.52
"359",4.84,5.74,2.16
"360",0.74,4.62,4.22
"361",4.82,3.34,4
"362",2.7,1.7,0.96
"363",0.78,3.96,2.14
"364",1.56,7.26,5.36
"365",2.34,4.76,1.88
"366",3.32,2,3.82
"367",4.2,1,2.72
"368",1.42,3.46,5.3
"369",5.26,5.66,7.18
"370",0.52,3.92,3.6
"371",7,1,3.3
"372",2.42,4.92,1.44
"373",4.18,4.38,1.16
"374",1.34,3.16,3.44
"375",0.52,3.74,3.08
"376",4.14,7.96,2.54
"377",11.16,7.02,4.22
"378",3.3,3.24,7.64
"379",3.16,6.52,7.9
"380",3.44,1.26,3.28
"381",3.88,3.8,3.28
"382",2.94,1.58,3.36
"383",3.22,4.06,1.08
"384",2.32,8.18,8.54
"385",4.22,6.62,1.5
"386",0.28,5.72,3.34
"387",1.08,1.34,7.24
"388",2.86,1.64,1.68
"389",8.88,5.34,8.64
"390",6.52,5.12,3.84
"391",2.12,1.2,6.08
"392",2.16,7.84,2.54
"393",3.8,4.6,6.4
"394",4.12,1.24,4.06
"395",1.64,2.08,8.36
"396",5.08,2.78,3.38
"397",0.44,5.98,3.22
"398",1.74,2.3,9.54
"399",2.9,2.2,1.14
"400",1.54,3,6.4
"401",7.28,0.5,5.28
"402",3.8,2.3,4.22
"403",0.92,6.12,4.36
"404",2.32,3.88,3.8
"405",9.2,2.38,5.44
"406",0.3,4.14,5.42
"407",5.66,5.36,9.2
"408",1.14,1.52,7.96
"409",4.5,0.74,2.3
"410",7.14,7.08,4.7
"411",2.74,3.3,3.08
"412",4.34,1.08,1.86
"413",3.56,9.1,3.1
"414",7.6,3.78,5.74
"415",0.84,10.44,4.76
"416",0.86,1.16,4.4
"417",6.34,4.8,1.58
"418",4.2,0.62,5.78
"419",1.68,2.54,7.42
"420",2.94,4.9,0.9
"421",2.58,2.4,3.12
"422",5.4,1.7,6.54
"423",7.54,5.22,1.7
"424",1.46,1.5,4.86
"425",2.62,4.84,5.84
"426",3.92,2.36,2.92
"427",4.44,3.58,2.2
"428",0.18,1.68,1.74
"429",2.84,6.02,9.24
"430",3.32,4.34,7.16
"431",1.24,2.92,5.42
"432",5.44,1.92,2.82
"433",2.3,6.96,7.62
"434",3.56,5.06,3.78
"435",4.04,2.92,2.32
"436",0.44,5.16,5.32
"437",1,2.84,3.02
"438",3.66,2.44,2.84
"439",2.22,1.78,7.9
"440",3.82,3.78,2.02
"441",3.42,2.58,13.16
"442",7.92,2.04,12.56
"443",3.3,2.7,5.84
"444",2,5.18,6.56
"445",0.94,2.54,6.88
"446",1.78,4.06,1.42
"447",3.14,2.12,2.72
"448",3.32,5.3,2.44
"449",6.38,4.54,8.52
"450",1.18,4.44,2.14
"451",0.02,0.68,4.76
"452",3.18,6.94,7.52
"453",2.76,5.26,5.46
"454",1.1,4.88,6
"455",3.86,3.08,4.16
"456",15.54,5.36,6.36
"457",1.04,4.22,3.62
"458",3.02,2.16,2.02
"459",0.84,2.7,4.96
"460",5.16,2.28,5.5
"461",1.18,3.3,5.34
"462",6.08,1.72,8.42
"463",2.02,7.74,2.5
"464",8.86,3.08,8.94
"465",0.18,1.9,4.56
"466",0.1,1.7,2.04
"467",1.96,1.72,1.84
"468",0.44,2.72,3.56
"469",1.14,0.9,11.96
"470",0.36,2.5,4.08
"471",0.92,2.96,1.44
"472",5.56,1.88,2
"473",0.52,2.78,0.54
"474",6.2,3.36,1.58
"475",1.74,3.24,5.92
"476",1.54,5,1.16
"477",3.14,3.36,6.88
"478",1.1,1.42,4.78
"479",0.36,0.62,3.4
"480",3.66,2.74,8.1
"481",0.2,9.92,4.46
"482",2.92,2.66,3.52
"483",3.96,3.72,3.88
"484",2.58,1.44,3.1
"485",2.16,1.1,4.74
"486",7.8,6.48,5.76
"487",7.96,0.74,3.18
"488",1.86,3.32,1.68
"489",1.14,1.96,5.36
"490",2.2,5.9,1.54
"491",0.54,7.2,4.72
"492",2.96,6.84,5.44
"493",1.52,1.2,3.4
"494",4.18,1.88,4.84
"495",0.92,2.86,2.3
"496",1.44,10.02,7.6
"497",3.16,4.76,1.82
"498",2.94,5.22,5.2
"499",2.94,2.68,3.58
"500",6.3,1.86,3.28
"501",4.06,2.92,1.42
"502",0.62,3.76,6.94
"503",0.46,3.1,4.6
"504",5.48,5.66,3.44
"505",0.42,2.78,4.46
"506",2.04,2.8,6.26
"507",0.98,6.66,4.64
"508",1.5,5.42,2.04
"509",0.7,7.5,5.64
"510",2.52,3.64,0.96
"511",0.8,2.38,2.06
"512",2.1,4.76,2.84
"513",1.68,5.06,1.38
"514",3.64,5.32,2.46
"515",1.48,8.36,1.44
"516",7.14,4.92,0.72
"517",0.44,6.04,5.9
"518",2.14,0.86,6.8
"519",3.72,2.76,4.4
"520",1.96,2.98,2.22
"521",4.98,4.12,1.88
"522",1.26,2.3,6.74
"523",5.4,1.12,2.12
"524",4.44,5.04,8.78
"525",5.68,3.48,4.68
"526",2.04,1.16,1.44
"527",1.2,2.6,5.22
"528",4.5,0.5,1.64
"529",4.14,3.9,6.02
"530",6.68,2.5,3.1
"531",1.9,4.7,8.2
"532",2.58,4.68,5.2
"533",3.14,11.12,2.38
"534",0.78,3.66,3.14
"535",0.74,5.42,7.34
"536",2.22,1.92,5.42
"537",4.96,2.42,5.76
"538",5.96,1.56,4.7
"539",1.02,1.58,3.3
"540",4.36,3.08,8.94
"541",3.72,6.84,6.78
"542",7.88,6.18,4.92
"543",3.96,3.32,4.22
"544",1.96,2.52,7.68
"545",5.34,1.42,0.7
"546",4.74,2.58,5.58
"547",1.64,5.32,4.88
"548",2.06,4.2,1.64
"549",7.02,4.06,2.56
"550",4.68,7.46,13.9
"551",5.94,4.52,12.78
"552",7.62,7.86,7.92
"553",2.14,7.44,3.26
"554",2.26,5.54,6.38
"555",1.8,2.78,3.06
"556",3.16,6.54,8.38
"557",2.76,8.88,5.8
"558",2.6,9.44,3.24
"559",4.06,5.48,2.4
"560",1.32,5.38,8.5
"561",3.02,4.68,7.34
"562",0.9,4.54,6.36
"563",0.94,10.9,1.3
"564",0.84,6.52,1.08
"565",3.9,3.02,3.28
"566",4.94,1.38,2.2
"567",2.2,4.28,5.82
"568",0.86,4.9,3.88
"569",7.28,2.36,2.12
"570",5.72,0.78,8.5
"571",0.72,2.46,5.08
"572",1.16,2.46,4.78
"573",5.58,1.72,2.96
"574",0.76,3.9,11.24
"575",5.86,4.42,3.1
"576",2.6,5.4,4.12
"577",2.42,5.94,1.4
"578",2.74,3.84,15.58
"579",3.24,4.14,2.56
"580",0.34,6.12,1.9
"581",0.86,2.92,1.52
"582",2.46,4.22,15.32
"583",7.92,0.38,2.78
"584",1.98,5.14,2.5
"585",5.16,2.02,4.28
"586",1.42,0.76,20.44
"587",2.28,1.98,2.54
"588",2.78,4.54,3.02
"589",9.78,0.22,10.8
"590",0.74,4.58,6.16
"591",2.34,11,4.96
"592",1.62,4.3,6.84
"593",2.26,3.56,5.66
"594",2.84,3.2,3.22
"595",1.98,3.18,10
"596",4.2,0.6,2.26
"597",0.78,7.32,2.44
"598",1.84,3.92,2.78
"599",5.52,4.04,3.92
"600",1.8,5.54,2.8
"601",1.58,5.18,12.92
"602",3.44,2.14,3.36
"603",2.52,3.98,3.36
"604",2.48,0.3,7.18
"605",3.46,3.52,2.56
"606",0.88,5.64,4.36
"607",8.12,3.66,4.6
"608",3.22,3.68,3.98
"609",3.72,3.86,3.36
"610",7.18,2.3,2.06
"611",3.82,1.44,7.82
"612",4.5,4.74,6.04
"613",3.6,2.66,4.8
"614",4.24,1.34,2.48
"615",2.06,3.62,7.08
"616",2.22,5.56,2.54
"617",4.86,2.22,5.9
"618",3.26,3.24,3.34
"619",1.34,4.84,5.96
"620",1.58,4.28,7.16
"621",2.76,7.82,2.2
"622",1.24,5.42,2.58
"623",11.86,0.78,4.02
"624",3.64,4.64,2.86
"625",1.96,2.92,2
"626",3.78,1.7,1.42
"627",5.14,2.22,4
"628",4.6,12.4,0.58
"629",1.88,3.36,2
"630",1.2,1.22,3.74
"631",2.2,2.02,3
"632",3.66,0.76,1.8
"633",3.1,3.82,3.22
"634",1.06,1.98,4.46
"635",5.26,3.92,1.16
"636",5.5,4.76,4.72
"637",2.22,0.6,7.62
"638",5.98,1.72,6.08
"639",5.58,8.1,6.94
"640",5.86,6,1.9
"641",5.9,1.48,1.46
"642",8.78,1.8,7.7
"643",4.18,1.66,3.26
"644",2.94,2.54,6.52
"645",7.56,1.82,3.04
"646",4.1,7.2,1.96
"647",3.96,3.8,3.34
"648",3.64,3.74,3.92
"649",1.8,0.36,5.92
"650",2.92,4.86,4.86
"651",0.76,1.44,4.66
"652",7.74,3.62,6.38
"653",1.62,5.06,5.36
"654",2.92,6.12,2.6
"655",1.56,1.4,1.8
"656",0.38,2.38,5.82
"657",2.34,1.32,3.82
"658",1.2,3.06,3.3
"659",1.5,4.76,3.98
"660",0.24,1.12,1.26
"661",7.38,1.32,9.78
"662",4.06,4.06,4.7
"663",1.64,7.22,0.68
"664",0.62,4.68,5.72
"665",0.34,6.3,0.96
"666",1.72,1.7,1.44
"667",0.4,4.38,6.2
"668",3.02,2.04,6.44
"669",3.74,3.8,1.9
"670",2.48,3.5,5.04
"671",4.22,0.62,1.78
"672",1.16,4.24,3.98
"673",4.52,3.52,6.6
"674",1.82,5.72,2.06
"675",2.78,5.34,3.14
"676",4.44,1.32,1.08
"677",5.06,3.46,4.52
"678",3.24,1.3,2.96
"679",2.3,13.5,4.32
"680",3.3,1.54,4.84
"681",1.1,3.02,4.04
"682",5.2,2.3,7.02
"683",3.6,1.22,2.24
"684",12.98,2.06,3.44
"685",3.56,2.2,2.24
"686",6.46,4.84,0.94
"687",3.06,4.78,4.64
"688",3.4,3.9,9.2
"689",1.72,4.86,5.74
"690",1.46,8.06,5.44
"691",3.8,2.4,1.12
"692",3.64,3.72,8.5
"693",1,4.26,1.22
"694",3.38,3.74,4.3
"695",2.2,1.38,2.56
"696",8.84,1.68,4.1
"697",2.76,6.74,5.4
"698",3.56,7.9,4.76
"699",3.56,1.24,7.6
"700",6.54,2.68,6.24
"701",1.6,1.16,3.9
"702",4.04,6.56,5.02
"703",1.42,5.64,2.28
"704",3.56,3.56,5.02
"705",3.12,5,9.34
"706",0.68,6.14,0.86
"707",1.56,3.62,20.38
"708",16.04,5.94,3.46
"709",0.06,2.36,3.16
"710",0.5,7.96,3.14
"711",5.34,2.86,6.52
"712",2.06,5.28,4.86
"713",0.36,3.4,4.68
"714",2.32,10.28,3.06
"715",3.42,2.22,3.06
"716",1.26,3.34,6.22
"717",0.6,5,3.92
"718",7.96,3.44,6.56
"719",2.18,5.98,3.1
"720",1.2,0.76,7.3
"721",3.76,1.42,5.12
"722",5.18,1.62,6.46
"723",5.4,2.92,5.58
"724",4.98,7.06,3.76
"725",9.74,6.76,6.22
"726",2.58,7.62,1.58
"727",2.8,5.14,3.02
"728",5.34,1.4,8.06
"729",7,0.92,4.62
"730",1.66,2.06,2.34
"731",3.02,6.76,3.54
"732",2.92,2.44,3.2
"733",2.54,0.76,3.4
"734",1.44,2.54,10.46
"735",8.22,4.42,6.36
"736",2.52,4.3,7.32
"737",3.88,2.88,8.62
"738",1.8,5.4,1.4
"739",2.52,3.24,9.98
"740",5.52,2.46,4.74
"741",2.32,4.36,2.5
"742",3.74,1.48,4.44
"743",3.72,1.94,0.96
"744",3.7,3,5.04
"745",1.54,2.08,2.74
"746",1.38,2.84,5.04
"747",2.66,1.48,2.54
"748",4.02,2.16,2.96
"749",7.88,1.38,4.14
"750",1.58,8.3,2.3
"751",4.78,3.98,11
"752",19.08,1.48,0.96
"753",13.42,3.62,1.02
"754",8.38,1.42,4.92
"755",4.34,4.06,5.2
"756",2.34,5.34,2.36
"757",1.14,2.02,0.76
"758",7.7,6.14,6.42
"759",1.38,7.22,5.44
"760",2.76,0.98,5.56
"761",1.82,11.58,8.32
"762",4.38,4.06,3.04
"763",3.96,9.58,3.34
"764",1.54,2.84,5.18
"765",0.82,4.52,1
"766",0.28,5.66,4.52
"767",0.54,3.18,4.36
"768",3.5,5.22,1.66
"769",4.78,7.3,11.02
"770",3.08,3.14,1
"771",6.04,3,8.4
"772",0.14,1.52,2.3
"773",2.28,2.04,4.28
"774",2.92,2.46,1.44
"775",2.58,2.22,2.16
"776",2.2,2.6,4.3
"777",10.26,0.98,6.18
"778",1.18,5.4,1.32
"779",0.44,3.26,6.58
"780",8.9,3.14,3.92
"781",2.7,2.32,6
"782",5.22,1.54,5.1
"783",10.66,7.08,2.68
"784",2.14,3.6,4.84
"785",0.34,2.7,2.22
"786",1.14,1.94,4.98
"787",1.22,1.02,6.54
"788",1.64,3.7,6.88
"789",6.12,4.48,3.96
"790",0.68,4.76,3.86
"791",1.08,1.84,0.68
"792",3.56,1.88,3.46
"793",1.82,3.08,3.1
"794",2.9,7.14,9.44
"795",2.94,4.24,2.9
"796",2.2,3.26,8.96
"797",2.7,5.32,5.94
"798",4.5,1.56,2.7
"799",1.38,2.96,1.74
"800",3.18,1.4,2.36
"801",5.2,3.8,4.16
"802",0.84,2.2,6.2
"803",6.48,4.78,5.78
"804",7.78,6.66,1.34
"805",1.06,3.98,4.16
"806",1.14,5.5,6.6
"807",1.24,6.96,2.8
"808",0.78,4.92,3.54
"809",3.72,2.12,2.54
"810",2.32,4.44,8.1
"811",2.86,5.4,3.5
"812",0.42,4.86,1.72
"813",9.18,1.5,3.2
"814",2.52,2.4,3.2
"815",1.84,2.58,4.84
"816",2.22,2.94,4.5
"817",1.06,1.64,3.84
"818",1.38,12.02,1.2
"819",1.98,6.48,7.98
"820",3.92,5.32,1.04
"821",3.92,3.12,3.2
"822",2.94,3.76,5.02
"823",8.54,1.44,3.46
"824",1.38,1.18,2.62
"825",2.76,3.46,4.08
"826",5.56,2.7,7.04
"827",1.4,1.82,1.8
"828",7.56,1.72,4.96
"829",0.38,4.72,6.46
"830",1.4,2.16,7.34
"831",3.72,2.96,3.68
"832",2.04,1.62,5.02
"833",1.4,1.7,2.84
"834",1.56,1.16,5.22
"835",2.62,2.18,4.96
"836",1.32,1.82,6.52
"837",3.98,2.78,4.64
"838",2.18,3.68,8.62
"839",3.72,2.3,0.94
"840",4.82,3.16,5.38
"841",2.6,2.48,7.74
"842",2.1,5.58,4.1
"843",3.88,2.3,4.3
"844",5.78,1.8,5.58
"845",3.24,3.28,5.94
"846",1.84,10.94,3.52
"847",2.38,3.98,0.86
"848",2.22,1.1,3.48
"849",4.1,3.12,2.26
"850",0.62,6.12,1.22
"851",7.76,4.3,4.08
"852",2.86,2.18,4.7
"853",3,2.8,2.3
"854",2.3,1.24,5.34
"855",3.32,5.32,4.44
"856",2.06,2.12,16.38
"857",2.9,4.16,2.76
"858",6.64,0.98,3.98
"859",0.42,3.08,5.44
"860",4.4,1.38,2.86
"861",2.46,3.18,3.1
"862",0.68,7.34,4.1
"863",1.62,1.86,2.3
"864",1.24,2.32,10.26
"865",7.02,1.16,6.32
"866",6.64,2.04,3.06
"867",0.34,10.5,13.94
"868",3.06,7.48,3.48
"869",3.96,2.08,3.4
"870",4.06,1.98,6.22
"871",3.14,3.4,4.62
"872",3.34,0.46,2.48
"873",5.32,3.86,5.5
"874",2.16,1.96,2.82
"875",2.92,4.22,7.08
"876",1.82,3.96,5.86
"877",1.5,4.46,6.02
"878",2.86,4.52,2.02
"879",1.46,6.28,4.46
"880",2.7,4.22,2.5
"881",0.6,3.32,3.48
"882",0.6,6.62,6.02
"883",4.92,1.58,7.86
"884",2.22,2.14,4.14
"885",0.7,11.72,5.72
"886",2.38,3.96,1.82
"887",2.06,3.82,7.72
"888",3.08,5.42,4.76
"889",2.5,2.2,2.04
"890",2.94,2.96,1.94
"891",0.28,4.34,1.42
"892",0.76,2.38,10.04
"893",4.38,4.3,3.42
"894",1.78,4.12,1.1
"895",0.84,5.18,3.28
"896",1.96,4.32,1.64
"897",3.88,3.22,4.04
"898",4.76,1.2,2.68
"899",2.86,6.22,2.7
"900",2.42,4.54,4.22
"901",12.14,6.54,7.62
"902",3.56,0.38,0.8
"903",5.62,4.86,1.92
"904",1.56,3.86,3.34
"905",6.34,2.22,7.88
"906",2.22,3.52,3.74
"907",3.9,4.62,6.44
"908",1.32,8.1,9.6
"909",0.92,4.34,1.54
"910",2.86,2.84,5.3
"911",0.7,6.1,4.44
"912",1.26,3.2,7.6
"913",2.68,4.98,10.08
"914",2.12,2.02,2.38
"915",1.26,1.58,5.9
"916",0.78,4.38,1.82
"917",4.92,2.8,2.52
"918",2.52,6.68,3.08
"919",1.7,1.48,5.42
"920",2.78,2.52,8.92
"921",1.62,6.36,3.76
"922",1.14,6.62,4.36
"923",3.32,5.54,4.44
"924",0.96,10.96,3.18
"925",1.24,2.94,1.2
"926",3.92,10.3,3.76
"927",0.72,4.62,4.56
"928",1.64,2.72,3.96
"929",4.76,4,2.62
"930",3.62,1.9,1.14
"931",2.22,5.48,1.16
"932",0.7,3.94,6.4
"933",1.34,6.44,2.7
"934",0.46,4.28,6.1
"935",3.9,2.04,1.16
"936",4.2,2.52,9.74
"937",3.22,2.1,3.82
"938",2.06,1.18,6.72
